episode,score,total_reward,epsilon,steps,avg_loss,merge_rate,max_level_merges
342,2741,777,0.29333333333333333,212,3.94267704351893,82.0754716981132,0
343,2551,758,0.2927272727272727,198,3.929163524598786,83.83838383838383,0
344,4376,1192,0.2921212121212121,304,3.7378579103632976,89.47368421052632,0
345,1575,451,0.2915151515151515,142,3.7289298445406094,73.23943661971832,0
346,3565,1004,0.2909090909090909,251,3.656394894854481,89.64143426294821,0
347,2955,779,0.29030303030303034,209,3.837297956909289,85.64593301435407,0
348,4473,1303,0.28969696969696973,312,3.686928400244468,91.66666666666666,1
349,4663,1232,0.2890909090909091,331,3.785995637001948,90.03021148036254,0
350,4383,1214,0.2884848484848485,314,3.526944438742984,88.53503184713377,1
351,4460,1246,0.2878787878787879,316,3.9767011747330048,90.82278481012658,0
352,3418,931,0.2872727272727273,249,3.3386354877288085,88.35341365461848,0
353,2524,696,0.2866666666666667,188,3.429964548729836,85.1063829787234,0
354,3897,1105,0.28606060606060607,281,3.8352909660848433,88.25622775800713,0
355,4107,1042,0.28545454545454546,286,3.4244489540586938,90.9090909090909,0
356,2747,769,0.28484848484848485,209,3.568507276653673,84.688995215311,0
357,2635,747,0.28424242424242424,207,3.345455598715999,82.6086956521739,0
358,4495,1206,0.28363636363636363,320,3.640221214666963,90.3125,0
359,2715,697,0.283030303030303,202,3.4716110554071937,84.15841584158416,0
360,2259,620,0.2824242424242424,177,3.9346817213263217,81.35593220338984,0
361,3629,934,0.2818181818181818,246,3.8472436201281663,89.43089430894308,0
362,3777,1025,0.28121212121212125,262,3.501841156082299,90.83969465648855,0
363,4147,1085,0.28060606060606064,292,3.683890841186863,89.38356164383562,1
364,4542,1165,0.28,306,3.754018938229754,89.54248366013073,1
365,3150,922,0.2793939393939394,233,3.658604410073276,85.83690987124464,0
366,2327,639,0.2787878787878788,186,3.328702267139189,82.79569892473118,0
367,2990,802,0.2781818181818182,226,3.7064497982506204,86.28318584070797,0
368,4404,1257,0.2775757575757576,300,3.5562555400530496,89.66666666666666,1
369,3386,931,0.276969696969697,240,3.773064349095027,88.75,0
370,3094,802,0.27636363636363637,219,3.459219364270772,86.3013698630137,0
371,3210,946,0.27575757575757576,239,3.702096321093986,88.28451882845188,0
